Accident_Date,Claim_Date,Claiment_Gender,chk,Claimant_Age,Claim_Number,Policy_Number,Policy_Type,Fraud_Found,Deductible,Driver_Rating,Police_Report_Filed,Witness_Present,Agent_Type,Base_Policy_Type,,
21-Jul-05,08-Aug-05,Female,0,68,1,1030,Sport - Liability,0,300,1,No,No,External,Liability,,
27-May-01,31-Mar-02,Male,6,53,2,4299,Sport - Collision,0,400,4,Yes,No,External,Collision,,
04-Jul-02,05-Jul-02,Male,2,43,3,3806,Sport - Collision,0,400,3,No,No,External,Collision,,
20-Aug-01,29-Aug-01,Male,3,21,4,3300,Sedan - Liability,0,400,2,Yes,No,External,Liability,,
13-Sep-01,02-May-02,Male,4,29,5,3752,Sport - Collision,0,400,1,No,No,External,Collision,,
21-May-02,19-Oct-02,Male,6,39,6,4622,Sport - Collision,0,400,3,No,No,External,Collision,,
03-Jan-01,26-Jan-02,Male,3,20,7,1870,Sport - Collision,0,400,1,No,No,External,Collision,,
27-May-01,08-Jun-01,Male,4,28,8,1799,Sport - Collision,0,400,4,No,No,External,Collision,,
27-Apr-01,09-Oct-01,Male,6,40,9,2306,Sport - Collision,0,400,4,No,Yes,External,Collision,,
15-Jun-01,05-Aug-01,Male,6,58,10,2864,Utility - All Perils,0,400,1,No,No,External,All Perils,,
14-Mar-02,23-Apr-03,Male,3,50,11,2596,Sedan - All Perils,0,400,3,No,No,External,All Perils,,
26-Sep-02,29-Nov-02,Male,3,65,12,4519,Sedan - Liability,0,400,1,No,No,External,Liability,,
24-Mar-01,06-Jan-02,Male,3,75,13,187,Sedan - Liability,0,400,1,No,No,External,Liability,,
06-Jul-01,18-Oct-01,Male,2,67,14,2990,Sedan - Collision,0,400,3,No,No,External,Collision,,
30-Jul-01,19-Aug-02,Male,2,63,15,3139,Sedan - Liability,0,400,1,No,No,External,Liability,,
26-Jan-01,07-May-01,Male,5,46,16,3542,Sedan - Liability,0,400,1,No,No,External,Liability,,
09-Aug-02,24-Aug-02,Female,0,69,17,398,Sedan - All Perils,0,400,4,No,No,External,All Perils,,
05-Dec-01,31-Dec-01,Male,6,36,18,215,Sedan - Collision,0,400,1,No,No,External,Collision,,
30-Nov-02,03-Dec-02,Male,6,36,19,4775,Sedan - Liability,0,400,1,No,No,External,Liability,,
